,quadrat,x,y
547,1803,18,3
548,1804,18,4
549,1805,18,5
550,1806,18,6
551,1807,18,7
552,1808,18,8
553,1809,18,9
554,1810,18,10
555,1811,18,11
556,1812,18,12
557,1813,18,13
558,1814,18,14
559,1815,18,15
560,1816,18,16
561,1817,18,17
562,1818,18,18
563,1819,18,19
564,1820,18,20
565,1821,18,21
566,1822,18,22
567,1823,18,23
568,1824,18,24
569,1825,18,25
570,1826,18,26
571,1827,18,27
572,1828,18,28
573,1829,18,29
574,1830,18,30
575,1831,18,31
576,1832,18,32
577,1901,19,1
578,1902,19,2
579,1903,19,3
580,1904,19,4
581,1905,19,5
582,1906,19,6
583,1907,19,7
584,1908,19,8
585,1909,19,9
586,1910,19,10
587,1911,19,11
588,1912,19,12
589,1913,19,13
590,1914,19,14
591,1915,19,15
592,1916,19,16
593,1917,19,17
594,1918,19,18
595,1919,19,19
596,1920,19,20
597,1921,19,21
598,1922,19,22
599,1923,19,23
600,1924,19,24
601,1925,19,25
602,1926,19,26
603,1927,19,27
604,1928,19,28
605,1929,19,29
606,1930,19,30
607,1931,19,31
608,1932,19,32
609,2001,20,1
610,2002,20,2
611,2003,20,3
612,2004,20,4
613,2005,20,5
614,2006,20,6
615,2007,20,7
616,2008,20,8
617,2009,20,9
618,2010,20,10
619,2011,20,11
620,2012,20,12
621,2013,20,13
622,2014,20,14
623,2015,20,15
624,2016,20,16
625,2017,20,17
626,2018,20,18
627,2019,20,19
628,2020,20,20
629,2021,20,21
630,2022,20,22
631,2023,20,23
632,2024,20,24
633,2025,20,25
634,2026,20,26
635,2027,20,27
636,2028,20,28
637,2029,20,29
638,2030,20,30
639,2031,20,31
640,2032,20,32
